,level_1,grapheme,phoneme,filename
1157,189,cortando,\k\\o\\X\'\t\\a~\.\d\\u\,A_Cabana_-_Frases
1157,189,os,\u\\Z\\o\.\e\.\L\\u\\s\\pau\,A_Cabana_-_Frases
1157,189,"joelhos,",\m\\a\\k\'\k\,A_Cabana_-_Frases
1157,189,Mack,\m\\ej\.\u\,A_Cabana_-_Frases
1157,189,meio,'\e~\.\g\\a\.\tS\\i~\.\J\\ow\\pau\,A_Cabana_-_Frases
1157,189,"engatinhou,",\m\\ej\.\u\,A_Cabana_-_Frases
1157,189,meio,'\e\\s\.\k\\o\.\R\\e\.\g\\ow\\pau\,A_Cabana_-_Frases
1157,189,"escorregou,",\a\.\t\\E\\k\\o~\.\s\\e\'\g\\i\\X\,A_Cabana_-_Frases
1157,189,até,'\S\\e\.\g\\a\\r\,A_Cabana_-_Frases
1157,189,conseguir,\a\,A_Cabana_-_Frases
1157,189,chegar,'\u~\.\m\\a\,A_Cabana_-_Frases
1157,189,a,\p\\a\\X\.\tS\\i\,A_Cabana_-_Frases
1157,189,uma,\p\\l\\a~\.\n\\a\,A_Cabana_-_Frases
1157,189,parte,\d\\a\,A_Cabana_-_Frases
1157,189,plana,'\e~\.\t\\r\\a\.\d\\a\,A_Cabana_-_Frases
1157,189,entrada,\v\\e\'\i\\k\\u\.\l\\u\\s\,A_Cabana_-_Frases
1157,189,veículos.,,A_Cabana_-_Frases
1158,190,esforço,\e\\s\'\f\\o\\X\.\s\\u\,A_Cabana_-_Frases
1158,190,"considerável,",\k\\o~\.\s\\i\.\d\\e\'\r\\a\.\v\\e\\w\\pau\,A_Cabana_-_Frases
1158,190,pôde,'\p\\o\\dZ\\i\,A_Cabana_-_Frases
1158,190,pé,'\p\\E\\i\,A_Cabana_-_Frases
1158,190,e,\a\.\v\\a~\.\s\\a\\X\,A_Cabana_-_Frases
1158,190,avançar,\k\\a\\u\.\t\\e\'\l\\o\.\z\\a\.\m\\e~\.\tS\\i\\pau\,A_Cabana_-_Frases
1158,190,"cautelosamente,",\s\\e~\.\tS\\i\\m\\e\.\t\\r\\u\,A_Cabana_-_Frases
1158,190,centímetro,\a\,A_Cabana_-_Frases
1158,190,a,\s\\e~\.\tS\\i\\m\\e\.\t\\r\\u\\pau\,A_Cabana_-_Frases
1158,190,"centímetro,",\e~j~\'\dZ\\i\.\r\\e\.\s\\a~\\w~\,A_Cabana_-_Frases
1158,190,direção,\k\\a\.\z\\a\\pau\,A_Cabana_-_Frases
1158,190,à,\u~\.\m\\i\.\L\\a\.\d\\u\,A_Cabana_-_Frases
1158,190,"casa,",'\p\\E\.\l\\u\\s\,A_Cabana_-_Frases
1158,190,humilhado,\p\\o\.\d\\E\'\r\\i\\s\,A_Cabana_-_Frases
1158,190,pelos,'\d\\u\,A_Cabana_-_Frases
1158,190,poderes,\Z\\e\'\l\\u\,A_Cabana_-_Frases
1158,190,gelo,'\d\\a\,A_Cabana_-_Frases
1158,190,e,\g\\r\\a\.\v\\i\.\d\\a\.\dZ\\i\,A_Cabana_-_Frases
1158,190,gravidade.,,A_Cabana_-_Frases
1159,191,Assim,\a\'\s\\i~\,A_Cabana_-_Frases
1159,191,"entrou,",\e~\'\t\\r\\ow\\pau\,A_Cabana_-_Frases
1159,191,livrou,\l\\i\'\v\\r\\ow\,A_Cabana_-_Frases
1159,191,metodicamente,\m\\e\.\t\\o\.\dZ\\i\'\k\\a\.\m\\e~\.\tS\\i\,A_Cabana_-_Frases
1159,191,melhor,\m\\e\'\L\\o\\R\,A_Cabana_-_Frases
1159,191,pôde,\p\\o\\dZ\\i\,A_Cabana_-_Frases
1159,191,camadas,'\k\\a\.\m\\a\.\d\\a\\js\,A_Cabana_-_Frases
1159,191,roupa,\R\\ow\.\p\\a\,A_Cabana_-_Frases
1159,191,"frio,",'\f\\r\\i\.\u\\pau\,A_Cabana_-_Frases
1159,191,meio,\m\\ej\.\u\,A_Cabana_-_Frases
1159,191,congelados,\k\\o~\'\Z\\e\.\l\\a\.\d\\u\\s\,A_Cabana_-_Frases
1159,191,reagindo,\R\\e\'\a\.\Z\\i~\.\d\\u\,A_Cabana_-_Frases
1159,191,tanta,\t\\a~\.\t\\a\,A_Cabana_-_Frases
1159,191,fossem,\f\\O\.\s\\e~j~\.\p\\o\.\R\\E\.\tS\\i\\z\,A_Cabana_-_Frases
1159,191,porretes,\e\'\n\\O\\R\.\m\\i\\s\,A_Cabana_-_Frases
1159,191,enormes,'\n\\a\,A_Cabana_-_Frases
1159,191,na,\p\\o~\.\t\\a\,A_Cabana_-_Frases
1159,191,ponta,\d\\u\\s\,A_Cabana_-_Frases
1159,191,dos,\b\\r\\a\.\s\\u\\s\,A_Cabana_-_Frases
1159,191,braços.,,A_Cabana_-_Frases
1160,192,Decidiu,\d\\e\.\s\\i\'\dZ\\i\\u\,A_Cabana_-_Frases
1160,192,largar,\l\\a\\R\'\g\\a\\r\,A_Cabana_-_Frases
1160,192,aquela,\a\'\k\\E\.\l\\a\,A_Cabana_-_Frases
1160,192,bagunça,\b\\a\'\g\\u~\.\s\\a\,A_Cabana_-_Frases
1160,192,molhada,\m\\o\'\L\\a\.\d\\a\,A_Cabana_-_Frases
1160,192,manchada,\m\\a~\'\S\\a\.\d\\a\,A_Cabana_-_Frases
1160,192,"entrada,",\e~\'\t\\r\\a\.\d\\a\\pau\,A_Cabana_-_Frases
1160,192,deixara,\d\\e\\j\'\S\\a\.\r\\a\,A_Cabana_-_Frases
1160,192,"cair,",'\k\\a\.\j\\X\\pau\,A_Cabana_-_Frases
1160,192,avançou,\a\.\v\\a~\'\s\\ow\,A_Cabana_-_Frases
1160,192,dolorosamente,\d\\o\.\l\\o\.\r\\o\'\z\\a\.\m\\e~\.\tS\\i\,A_Cabana_-_Frases
1160,192,o,\b\\a\.\J\\ej\.\r\\u\,A_Cabana_-_Frases
1160,192,banheiro,\p\\a\'\r\\a\,A_Cabana_-_Frases
1160,192,para,\e\.\z\\a\.\m\\i~\.\n\\a\\r\,A_Cabana_-_Frases
1160,192,examinar,\u\\s\,A_Cabana_-_Frases
1160,192,os,\f\\e\.\r\\i~\.\m\\e~\.\t\\u\\s\,A_Cabana_-_Frases
1160,192,ferimentos.,,A_Cabana_-_Frases
1161,193,dúvida,'\d\\u\\v\\i\.\d\\a\,A_Cabana_-_Frases
1161,193,gelado,\Z\\e\'\l\\a\.\d\\u\,A_Cabana_-_Frases
1161,193,vencido.,\v\\e~\'\s\\i\.\d\\u\,A_Cabana_-_Frases
1162,194,Do,\d\\u\,A_Cabana_-_Frases
1162,194,talho,'\t\\a\.\L\\u\,A_Cabana_-_Frases
1162,194,nuca,'\n\\u\.\k\\a\,A_Cabana_-_Frases
1162,194,escorria,\e\\s\.\k\\o\'\R\\i\.\a\,A_Cabana_-_Frases
1162,194,redor,\R\\e\'\d\\o\\R\,A_Cabana_-_Frases
1162,194,pedrinhas,\p\\e\'\d\\r\\i~\.\J\\a\\js\,A_Cabana_-_Frases
1162,194,encravadas,\e~\.\k\\r\\a\'\v\\a\.\d\\a\\js\,A_Cabana_-_Frases
1162,194,cabeludo.,\k\\a\.\b\\e\'\l\\u\.\d\\u\,A_Cabana_-_Frases
1163,195,"temido,",\t\\e\'\m\\i\.\d\\u\\pau\,A_Cabana_-_Frases
1163,195,galo,'\g\\a\.\l\\u\,A_Cabana_-_Frases
1163,195,significativo,\s\\i\\g\.\n\\i\.\f\\i\.\k\\a\'\tS\\i\.\v\\u\,A_Cabana_-_Frases
1163,195,"formado,",\f\\o\\R\'\m\\a\.\d\\u\\pau\,A_Cabana_-_Frases
1163,195,emergindo,\e\.\m\\e\\R\'\Z\\i~\.\d\\u\,A_Cabana_-_Frases
1163,195,baleia-corcunda,\b\\a\'\l\\ej\.\a\,A_Cabana_-_Frases
1163,195,rompendo,\k\\o\\X\'\k\\u~\.\d\\a\,A_Cabana_-_Frases
1163,195,as,\R\\o~\'\p\\e~\.\d\\u\,A_Cabana_-_Frases
1163,195,ondas,\a\\js\,A_Cabana_-_Frases
1163,195,de,'\o~\.\d\\a\\js\,A_Cabana_-_Frases
1163,195,cabelo,'\s\\e\\u\,A_Cabana_-_Frases
1163,195,ralo.,\k\\a\'\b\\E\.\l\\u\,A_Cabana_-_Frases
1163,195,,'\R\\a\.\l\\u\,A_Cabana_-_Frases
1164,196,espelho,\e\\s\'\p\\e\.\L\\u\,A_Cabana_-_Frases
1164,196,imagem,\i~\'\m\\a\.\Z\\e~j~\.\i~\.\v\\e\\X\.\tS\\i\.\d\\a\,A_Cabana_-_Frases
1164,196,invertida,\d\\u\,A_Cabana_-_Frases
1164,196,do,\e\\s\.\p\\e\.\L\\u\,A_Cabana_-_Frases
1164,196,espelho,\d\\u\,A_Cabana_-_Frases
1164,196,do,\b\\a\.\J\\ej\.\r\\u\\pau\,A_Cabana_-_Frases
1164,196,"banheiro,",\m\\a\\k\'\k\,A_Cabana_-_Frases
1164,196,Mack,\a\.\S\\ow\,A_Cabana_-_Frases
1164,196,achou,\dZ\\i\'\f\\i\\s\\i\\w\,A_Cabana_-_Frases
1164,196,difícil,\f\\a\'\z\\e\\r\,A_Cabana_-_Frases
1164,196,fazer,\u~\,A_Cabana_-_Frases
1164,196,um,\k\\u\.\r\\a\.\tS\\i\.\v\\u\,A_Cabana_-_Frases
1164,196,curativo.,,A_Cabana_-_Frases
1165,197,curta,'\k\\u\\X\.\t\\a\,A_Cabana_-_Frases
1165,197,"frustração,",\f\\r\\u\\s\.\t\\r\\a\'\s\\a~\\w~\\pau\,A_Cabana_-_Frases
1165,197,"desistiu,",\d\\e\.\z\\i\\s\'\tS\\i\\u\\pau\,A_Cabana_-_Frases
1165,197,obrigar,\o\.\b\\r\\i\'\g\\a\\r\,A_Cabana_-_Frases
1165,197,irem,\i\.\r\\e~j~\.\n\\a\,A_Cabana_-_Frases
1165,197,na,\dZ\\i\.\r\\e\.\s\\a~\\w~\,A_Cabana_-_Frases
1165,197,direção,\s\\E\\X\.\t\\a\,A_Cabana_-_Frases
1165,197,certa,'\i\,A_Cabana_-_Frases
1165,197,e,\s\\e~j~\.\s\\a\.\b\\e\\X\,A_Cabana_-_Frases
1165,197,sem,\k\\w\\a\\w\,A_Cabana_-_Frases
1165,197,saber,\d\\u\\s\,A_Cabana_-_Frases
1165,197,qual,'\d\\o\\j\\z\,A_Cabana_-_Frases
1165,197,dos,\e\\s\.\p\\e\.\L\\u\\s\,A_Cabana_-_Frases
1165,197,dois,'\m\\e~\.\tS\\i\.\a\,A_Cabana_-_Frases
1165,197,espelhos,\p\\a\'\r\\a\,A_Cabana_-_Frases
1165,197,mentia,\e\'\l\\i\,A_Cabana_-_Frases
1166,198,Tateando,\t\\a\.\t\\e\'\a~\.\d\\u\,A_Cabana_-_Frases
1166,198,"encharcado,",\e~\.\S\\a\\X\'\k\\a\.\d\\u\\pau\,A_Cabana_-_Frases
1166,198,tirar,\tS\\i\'\r\\a\\r\,A_Cabana_-_Frases
1166,198,pedaços,\p\\e\'\d\\a\.\s\\u\\s\,A_Cabana_-_Frases
1166,198,maiores,'\m\\a\\j\.\o\.\r\\i\\s\,A_Cabana_-_Frases
1166,198,"cascalho,",\k\\a\\s\'\k\\a\.\L\\u\\pau\,A_Cabana_-_Frases
1166,198,até,\a\'\t\\E\\k\\i\,A_Cabana_-_Frases
1166,198,a,\d\\o\\X\,A_Cabana_-_Frases
1166,198,dor,'\f\\i\.\k\\ow\,A_Cabana_-_Frases
1166,198,ficou,\f\\O\\X\'\tS\\i\,A_Cabana_-_Frases
1166,198,forte,\d\\e\.\m\\a\\j\\s\,A_Cabana_-_Frases
1166,198,demais,'\p\\a\.\r\\a\,A_Cabana_-_Frases
1166,198,para,\k\\o~\.\tS\\i~\.\n\\u\.\a\\X\,A_Cabana_-_Frases
1166,198,continuar.,,A_Cabana_-_Frases
1167,199,Pegou,\p\\e\'\g\\ow\,A_Cabana_-_Frases
1167,199,pomada,\p\\o\'\m\\a\.\d\\a\,A_Cabana_-_Frases
1167,199,socorros,\s\\o\'\k\\O\.\R\\u\\z\,A_Cabana_-_Frases
1167,199,tapou,\t\\a\'\p\\ow\,A_Cabana_-_Frases
1167,199,ferimento,\f\\e\'\r\\i~\.\m\\e~\.\t\\u\,A_Cabana_-_Frases
1167,199,pôde.,\p\\o\\dZ\\i\,A_Cabana_-_Frases
1168,200,Em,\e~j~\.\s\\e\.\g\\i\.\d\\a\,A_Cabana_-_Frases
1168,200,seguida,\a\'\m\\a\.\R\\ow\,A_Cabana_-_Frases
1168,200,amarrou,\u~\.\m\\a\,A_Cabana_-_Frases
1168,200,uma,\t\\o\.\a\.\L\\a\,A_Cabana_-_Frases
1168,200,toalha,'\dZ\\i\,A_Cabana_-_Frases
1168,200,de,\R\\o\\s\.\t\\u\,A_Cabana_-_Frases
1168,200,rosto,'\n\\a\,A_Cabana_-_Frases
1168,200,na,\n\\u\.\k\\a\,A_Cabana_-_Frases
1168,200,nuca,'\u\.\z\\a~\.\d\\u\,A_Cabana_-_Frases
1168,200,usando,\u~\,A_Cabana_-_Frases
1168,200,pouco,'\dZ\\i\,A_Cabana_-_Frases
1168,200,de,\g\\a\.\z\\i\,A_Cabana_-_Frases
1168,200,gaze,'\k\\i\,A_Cabana_-_Frases
1168,200,que,\e~\.\k\\o~\.\t\\r\\ow\,A_Cabana_-_Frases
1168,200,encontrou,\n\\u~\.\m\\a\,A_Cabana_-_Frases
1168,200,numa,\g\\a\.\v\\E\.\t\\a\,A_Cabana_-_Frases
1168,200,gaveta,'\d\\u\,A_Cabana_-_Frases
1168,200,do,\b\\a\.\J\\ej\.\r\\u\,A_Cabana_-_Frases
1168,200,banheiro.,,A_Cabana_-_Frases
1169,201,Olhando-se,\o\'\L\\a~\.\d\\u\,A_Cabana_-_Frases
1169,201,"espelho,",\n\\u\,A_Cabana_-_Frases
1169,201,pensou,\e\\s\'\p\\e\.\L\\u\\pau\,A_Cabana_-_Frases
1169,201,que,\p\\e~\'\s\\ow\,A_Cabana_-_Frases
1169,201,se,\k\\i\,A_Cabana_-_Frases
1169,201,parecia,\s\\i\,A_Cabana_-_Frases
1169,201,um,\p\\a\.\r\\e\'\s\\i\.\a\,A_Cabana_-_Frases
1169,201,pouco,\u~\,A_Cabana_-_Frases
1169,201,com,'\p\\ow\.\k\\u\,A_Cabana_-_Frases
1169,201,um,\k\\o~\,A_Cabana_-_Frases
1169,201,marinheiro,\u~\,A_Cabana_-_Frases
1169,201,rude,\m\\a\.\r\\i~\'\J\\ej\.\r\\u\,A_Cabana_-_Frases
1169,201,saído,'\R\\u\.\dZ\\i\,A_Cabana_-_Frases
1169,201,do,'\s\\a\.\i\\d\\u\,A_Cabana_-_Frases
1169,201,romance,\d\\u\,A_Cabana_-_Frases
1169,201,Moby,\R\\o\'\m\\a~\.\s\\i\,A_Cabana_-_Frases
1169,201,Dick.,\m\\o\\b\.\j\,A_Cabana_-_Frases
1169,201,,\dZ\\i\\k\.\k\,A_Cabana_-_Frases
1170,202,"rir,",'\R\\i\\X\\pau\,A_Cabana_-_Frases
1170,202,encolher.,\e~\.\k\\o\'\L\\e\\X\,A_Cabana_-_Frases
1171,203,Teria,\t\\e\'\r\\i\.\a\,A_Cabana_-_Frases
1171,203,esperar,\e\\s\.\p\\e\'\r\\a\\r\,A_Cabana_-_Frases
1171,203,que,\n\\a~\,A_Cabana_-_Frases
1171,203,Nan,'\S\\e\.\g\\a\.\s\\i\,A_Cabana_-_Frases
1171,203,chegasse,\e~j~\'\k\\a\.\z\\a\,A_Cabana_-_Frases
1171,203,casa,'\R\\e\.\s\\e\.\b\\e\\X\,A_Cabana_-_Frases
1171,203,para,'\k\\w\\a\\w\.\k\\e\\r\,A_Cabana_-_Frases
1171,203,receber,\a\.\t\\e~\'\dZ\\i~\.\m\\e~\.\t\\u\,A_Cabana_-_Frases
1171,203,atendimento,\v\\e\\R\.\d\\a\.\d\\ej\'\r\\u\\pau\,A_Cabana_-_Frases
1171,203,médico,'\u~\.\m\\a\,A_Cabana_-_Frases
1171,203,"verdadeiro,",\d\\a\\js\,A_Cabana_-_Frases
1171,203,uma,\m\\u\\j~\.\t\\a\\js\,A_Cabana_-_Frases
1171,203,das,\v\\a~\.\t\\a\.\Z\\e~\\s\,A_Cabana_-_Frases
1171,203,muitas,'\dZ\\i\,A_Cabana_-_Frases
1171,203,vantagens,\s\\e\\X\,A_Cabana_-_Frases
1171,203,de,\k\\a\.\z\\a\.\d\\u\,A_Cabana_-_Frases
1171,203,ser,'\k\\o~\,A_Cabana_-_Frases
1171,203,casado,\u~\'\m\\a\,A_Cabana_-_Frases
1171,203,com,\e~\.\f\\e\\R\.\m\\ej\.\r\\a\,A_Cabana_-_Frases
1171,203,enfermeira.,,A_Cabana_-_Frases
1172,204,pior,\p\\i\'\o\\X\,A_Cabana_-_Frases
1172,204,"aparência,",\a\.\p\\a\'\r\\e~\.\s\\i\\a\\pau\,A_Cabana_-_Frases
1172,204,solidariedade,\s\\o\.\l\\i\.\d\\a\.\r\\i\\e\'\d\\a\.\dZ\\i\,A_Cabana_-_Frases
1172,204,receber.,\R\\e\.\s\\e\'\b\\e\\X\,A_Cabana_-_Frases
1173,205,prestarmos,\p\\r\\e\\s\'\t\\a\\R\.\m\\u\\s\,A_Cabana_-_Frases
1173,205,conseguiremos,\k\\o~\.\s\\e\.\g\\i\'\r\\e~\.\m\\u\\s\,A_Cabana_-_Frases
1173,205,descobrir,\d\\e\\s\.\k\\o\'\b\\r\\i\\r\,A_Cabana_-_Frases
1173,205,compensação,\k\\o~\.\p\\e~\.\s\\a\'\s\\a~\\w~\,A_Cabana_-_Frases
1173,205,sofrimento.,\s\\o\.\f\\r\\i~\'\m\\e~\.\t\\u\,A_Cabana_-_Frases
1174,206,Engoliu,\e~\.\g\\o\'\l\\i\\u\,A_Cabana_-_Frases
1174,206,analgésicos,\a\.\n\\a\\w\'\Z\\E\\s\\i\.\k\\u\\s\,A_Cabana_-_Frases
1174,206,dor,'\d\\o\\r\,A_Cabana_-_Frases
1174,206,mancou,\m\\a~\'\k\\ow\,A_Cabana_-_Frases
1174,206,até,'\a\.\t\\E\\a\,A_Cabana_-_Frases
1174,206,a,\p\\O\\X\.\t\\a\,A_Cabana_-_Frases
1174,206,porta,\d\\a\,A_Cabana_-_Frases
1174,206,da,\f\\r\\e~\.\tS\\i\,A_Cabana_-_Frases
1174,206,frente.,,A_Cabana_-_Frases
1175,207,Nem,\n\\e~j~\.\p\\o\\r\,A_Cabana_-_Frases
1175,207,um,\i~\\s\.\t\\a~\.\tS\\i\,A_Cabana_-_Frases
1175,207,instante,\m\\a\\k\'\k\,A_Cabana_-_Frases
1175,207,Mack,\s\\i\,A_Cabana_-_Frases
1175,207,se,\e\\s\.\k\\e\.\s\\e\\u\,A_Cabana_-_Frases
1175,207,esqueceu,\d\\u\,A_Cabana_-_Frases
1175,207,do,\b\\i\.\L\\E\.\tS\\i\,A_Cabana_-_Frases
1175,207,bilhete.,,A_Cabana_-_Frases
1176,208,Remexendo,\R\\e\.\m\\e\'\S\\e~\.\d\\u\,A_Cabana_-_Frases
1176,208,pilha,'\p\\i\.\L\\a\,A_Cabana_-_Frases
1176,208,molhadas,\m\\o\'\L\\a\.\d\\a\\js\,A_Cabana_-_Frases
1176,208,"ensangüentadas,",\e~\.\s\\a~\.\g\\w\\e~\'\t\\a\.\d\\a\\js\\pau\,A_Cabana_-_Frases
1176,208,encontrou,\e~\.\k\\o~\'\t\\r\\ow\,A_Cabana_-_Frases
1176,208,casaco.,\k\\a\'\z\\a\.\k\\u\,A_Cabana_-_Frases
1177,209,"Olhou,",\o\'\L\\ow\\pau\,A_Cabana_-_Frases
1177,209,voltou,\v\\o\\w\'\t\\ow\,A_Cabana_-_Frases
1177,209,"escritório,",\e\\s\'\k\\r\\i\.\t\\O\\r\\i\\u\\pau\,A_Cabana_-_Frases
1177,209,achou,\a\'\S\\ow\,A_Cabana_-_Frases
1177,209,número,'\n\\u\\m\\e\.\r\\u\,A_Cabana_-_Frases
1177,209,agência,\a\.\Z\\e~\.\s\\i\\a\,A_Cabana_-_Frases
1177,209,correio,'\k\\o\.\R\\ej\.\u\,A_Cabana_-_Frases
1177,209,ligou.,'\l\\i\.\g\\ow\,A_Cabana_-_Frases
1178,210,"Annie,",\a~\\n\\i\\pau\,A_Cabana_-_Frases
1178,210,matronal,\m\\a\.\t\\r\\o\'\n\\a\\w\,A_Cabana_-_Frases
1178,210,chefe,'\S\\E\.\f\\i\,A_Cabana_-_Frases
1178,210,guardiã,\g\\u\\a\\R\.\dZ\\i\'\a~\,A_Cabana_-_Frases
1178,210,segredos,\s\\e\'\g\\r\\E\.\d\\u\\s\,A_Cabana_-_Frases
1178,210,atendeu.,\a\.\t\\e~\'\d\\e\\u\,A_Cabana_-_Frases
1179,211,"Oi,",\o\\j\\pau\,A_Cabana_-_Frases
1179,211,acaso,\a\'\k\\a\.\z\\u\,A_Cabana_-_Frases
1179,211,Tony,\t\\o~\.\j\,A_Cabana_-_Frases
1179,211,aí?,'\a\\i\,A_Cabana_-_Frases
1180,212,"Mack,",\m\\a\\k\.\k\\pau\,A_Cabana_-_Frases
1180,212,é,\E\\v\\o\.\s\\e\,A_Cabana_-_Frases
1180,212,você?,,A_Cabana_-_Frases
1181,213,Reconheci,\R\\e\.\k\\o\.\J\\e\'\s\\i\,A_Cabana_-_Frases
1181,213,voz.,'\v\\O\\js\,A_Cabana_-_Frases
1182,214,Claro,'\k\\l\\a\.\r\\u\,A_Cabana_-_Frases
1182,214,reconheceu.,\R\\e\.\k\\o\.\J\\e\'\s\\e\\u\,A_Cabana_-_Frases
1184,216,"verdade,",\v\\e\\R\'\d\\a\.\dZ\\i\\pau\,A_Cabana_-_Frases
1184,216,acabo,\a\'\k\\a\.\b\\u\,A_Cabana_-_Frases
1184,216,rádio.,'\R\\a\.\dZ\\i\\u\,A_Cabana_-_Frases
1185,217,metade,\m\\e\'\t\\a\.\dZ\\i\,A_Cabana_-_Frases
1185,217,"Wildcat,",'\w\\i\\w\.\dZ\\k\\a\\tS\\pau\,A_Cabana_-_Frases
1185,217,nem,\n\\e~j~\.\S\\e\.\g\\ow\,A_Cabana_-_Frases
1185,217,à,\s\\u\.\a\,A_Cabana_-_Frases
1185,217,casa,'\a\.\i~\.\d\\a\,A_Cabana_-_Frases
1186,218,quer,'\k\\e\\X\,A_Cabana_-_Frases
1186,218,conseguir,\k\\o~\.\s\\e\'\g\\i\\R\,A_Cabana_-_Frases
1186,218,voltar,\v\\o\\w\'\t\\a\\R\,A_Cabana_-_Frases
1186,218,vivo?,'\v\\i\.\v\\u\,A_Cabana_-_Frases
1187,219,pergunta.,\p\\e\\R\'\g\\u~\.\t\\a\,A_Cabana_-_Frases
1188,220,Houve,'\ow\.\v\\i\,A_Cabana_-_Frases
1189,221,"errado,",\e\'\R\\a\.\d\\u\\pau\,A_Cabana_-_Frases
1189,221,Mack?,\m\\a\\k\.\k\,A_Cabana_-_Frases
1190,222,fumando,\f\\u~\'\m\\a~\.\d\\u\,A_Cabana_-_Frases
1190,222,"bagulho,",\b\\a\'\g\\u\.\L\\u\\pau\,A_Cabana_-_Frases
1190,222,só,'\s\\O\\f\\a\\z\,A_Cabana_-_Frases
1190,222,faz,'\i\.\s\\u\,A_Cabana_-_Frases
1190,222,isso,'\n\\a\\js\,A_Cabana_-_Frases
1190,222,nas,\m\\a\.\J\\a~\\j~s\,A_Cabana_-_Frases
1190,222,manhãs,\dZ\\i\,A_Cabana_-_Frases
1190,222,de,\d\\o\.\m\\i~\.\g\\u\,A_Cabana_-_Frases
1190,222,domingo,\p\\a\'\r\\a\,A_Cabana_-_Frases
1190,222,para,'\k\\o~\.\s\\e\.\g\\i\\X\,A_Cabana_-_Frases
1190,222,conseguir,\s\\u\.\p\\o\\X\'\t\\a\\r\,A_Cabana_-_Frases
1190,222,suportar,\u\,A_Cabana_-_Frases
1190,222,o,\k\\u\\w\.\t\\u\,A_Cabana_-_Frases
1190,222,culto,'\n\\a\,A_Cabana_-_Frases
1190,222,na,\i\.\g\\r\\e\.\Z\\a\,A_Cabana_-_Frases
1190,222,igreja?,,A_Cabana_-_Frases
1191,223,encantada,\e~\.\k\\a~\'\t\\a\.\d\\a\,A_Cabana_-_Frases
1191,223,senso,\s\\e~\.\s\\u\,A_Cabana_-_Frases
1191,223,humor.,'\u~\.\m\\o\\X\,A_Cabana_-_Frases
1192,224,"Bom,",'\b\\o~\\pau\,A_Cabana_-_Frases
1192,224,sabe,'\s\\a\.\b\\i\,A_Cabana_-_Frases
1192,224,bagulho.,\b\\a\'\g\\u\.\L\\u\,A_Cabana_-_Frases
1193,225,fumei,\f\\u~\'\m\\ej\,A_Cabana_-_Frases
1193,225,nem,\n\\e~j~\.\k\\E\.\r\\u\,A_Cabana_-_Frases
1193,225,quero.,,A_Cabana_-_Frases
1194,226,Annie,\a~\\n\\i\,A_Cabana_-_Frases
1194,226,"disso,",'\dZ\\i\.\s\\u\\pau\,A_Cabana_-_Frases
1194,226,arriscar.,\a\.\R\\i\\s\'\k\\a\\X\,A_Cabana_-_Frases
1195,227,Nem,\n\\e~j~\.\s\\e\.\r\\i\.\a\,A_Cabana_-_Frases
1195,227,seria,\a\,A_Cabana_-_Frases
1195,227,a,\p\\r\\i~\.\m\\ej\.\r\\a\,A_Cabana_-_Frases
1195,227,primeira,\v\\e\\z\,A_Cabana_-_Frases
1195,227,vez,'\e~j~\.\k\\i\,A_Cabana_-_Frases
1195,227,que,\s\\e~\.\s\\u\,A_Cabana_-_Frases
1195,227,senso,'\u~\.\m\\o\\R\,A_Cabana_-_Frases
1195,227,humor,\a~\\n\\i\,A_Cabana_-_Frases
1195,227,Annie,\t\\r\\a~\\s\'\f\\o\\R\.\m\\a\.\r\\i\.\a\,A_Cabana_-_Frases
1195,227,se,\n\\u~\.\m\\a\,A_Cabana_-_Frases
1195,227,transformaria,\b\\o\\a\,A_Cabana_-_Frases
1195,227,numa,'\i\\s\.\t\\O\\r\\i\\a\,A_Cabana_-_Frases
1195,227,boa,'\k\\i\,A_Cabana_-_Frases
1195,227,história,\l\\O\'\g\\u\,A_Cabana_-_Frases
1195,227,logo,'\t\\o\\R\.\n\\a\.\r\\i\.\a\,A_Cabana_-_Frases
1195,227,se,\u~\,A_Cabana_-_Frases
1195,227,tornaria,\f\\a\.\t\\u\,A_Cabana_-_Frases
1195,227,fato.,,A_Cabana_-_Frases
1196,228,ver,'\v\\e\\X\,A_Cabana_-_Frases
1196,228,sendo,'\s\\e~\.\d\\u\,A_Cabana_-_Frases
1196,228,acrescentado,\a\.\k\\r\\e\\s\\e~\.\t\\a\'\d\\u\,A_Cabana_-_Frases
1196,228,corrente,\k\\o\'\R\\e~\.\tS\\i\,A_Cabana_-_Frases
1196,228,orações,\o\.\r\\a\'\s\\o~\\j~\\s\,A_Cabana_-_Frases
1196,228,igreja.,\i\'\g\\r\\e\.\Z\\a\,A_Cabana_-_Frases
1197,229,falo,'\f\\a\.\l\\u\,A_Cabana_-_Frases
1197,229,"hora,",'\O\.\r\\a\\pau\,A_Cabana_-_Frases
1198,230,"certo,",'\s\\E\\X\.\t\\u\\pau\,A_Cabana_-_Frases
1198,230,fique,'\f\\i\.\k\\i\,A_Cabana_-_Frases
1198,230,dentro,'\d\\e~\.\t\\r\\u\,A_Cabana_-_Frases
1198,230,mais,'\s\\e\.\g\\u\.\r\\u\,A_Cabana_-_Frases
1198,230,seguro.,,A_Cabana_-_Frases
1199,231,cara,'\k\\a\.\r\\a\,A_Cabana_-_Frases
1199,231,perder,\p\\e\\R\'\d\\e\\r\,A_Cabana_-_Frases
